step,type,amount,oldbalanceOrg,oldbalanceDest,isFraud,isFlaggedFraud
262,5,65315.29,0.0,462889.01,0,0
141,4,8267.42,30728.0,0.0,0,0
161,2,1055647.59,258061.0,321265.31,0,0
134,3,3746.59,2908061.99,670894.47,0,0
20,4,8158.59,0.0,0.0,0,0
353,1,3290.52,25204.82,1513942.18,0,0
209,3,153216.7,51873.0,0.0,0,0
235,4,618.09,50520.0,0.0,0,0
404,5,84736.7,0.0,103369.25,0,0
350,3,333819.41,2070145.26,1609045.39,0,0
235,5,175657.55,0.0,372626.94,0,0
204,2,464869.27,2022.0,0.0,0,0
163,2,109077.68,0.0,3920162.16,0,0
306,4,7395.62,405643.83,0.0,0,0
358,3,136046.61,4719906.79,1532203.56,0,0
139,5,78629.69,495731.99,591182.65,0,0
500,4,8903.16,0.0,0.0,0,0
21,5,25874.71,0.0,2050837.18,0,0
189,2,295393.83,0.0,1290679.12,0,0
204,3,49487.53,2338848.27,851411.76,0,0
394,5,7293.03,32795.0,0.0,0,0
322,4,6176.69,103515.0,0.0,0,0
349,4,8279.0,209719.52,0.0,0,0
133,5,41205.1,0.0,5246192.52,0,0
565,4,3561.88,161756.64,0.0,0,0
44,4,8248.56,39028.95,0.0,0,0
356,4,10938.56,40330.0,0.0,0,0
402,4,25042.76,174767.23,0.0,0,0
333,3,274993.45,17822.0,419347.08,0,0
130,5,130376.54,400.0,0.0,0,0
279,5,274392.04,155567.0,814795.22,0,0
644,4,21011.55,0.0,0.0,0,0
161,4,12710.68,11060.0,0.0,0,0
500,4,8834.07,19696.0,0.0,0,0
249,4,10745.68,33963.0,0.0,0,0
38,5,169662.99,0.0,185138.47,0,0
286,5,58966.48,40972.0,664873.88,0,0
329,3,115151.94,70503.0,6141928.45,0,0
186,3,59830.85,110.0,62634.61,0,0
405,5,170172.39,315337.65,211507.03,0,0
166,4,4485.52,10385.0,0.0,0,0
350,5,190325.3,0.0,297190.04,0,0
398,5,238646.31,0.0,7718357.42,0,0
42,4,4603.69,0.0,0.0,0,0
334,4,3211.71,0.0,0.0,0,0
45,3,185955.17,35361.33,488119.12,0,0
133,5,67283.36,0.0,443941.78,0,0
544,5,177160.35,12342.0,175487.47,0,0
226,5,86962.13,16117.0,0.0,0,0
230,4,56996.57,0.0,0.0,0,0
177,4,6195.67,0.0,0.0,0,0
234,5,79904.34,0.0,894536.1,0,0
284,4,4967.12,0.0,0.0,0,0
280,4,23095.89,210.0,0.0,0,0
589,5,126504.12,0.0,5644706.23,0,0
208,4,5280.34,200469.0,0.0,0,0
302,3,291149.05,1691276.39,25031588.63,0,0
161,5,12534.35,0.0,1897735.22,0,0
402,4,23394.62,900264.68,0.0,0,0
13,3,68245.56,1848290.48,173086.0,0,0
347,4,3676.54,0.0,0.0,0,0
332,4,44065.96,0.0,0.0,0,0
183,4,11119.39,119121.0,0.0,0,0
588,5,25717.91,49933.0,688576.02,0,0
253,5,71168.67,0.0,332304.77,0,0
230,5,74517.89,21953.0,1494932.25,0,0
254,3,212140.71,82864.75,1045601.81,0,0
329,4,33041.07,0.0,0.0,0,0
323,2,1532332.54,1115.0,88500.69,0,0
402,2,652605.16,5985.0,47556.76,0,0
22,5,116475.36,54052.0,0.0,0,0
33,2,590918.08,0.0,664211.37,0,0
237,5,11326.55,134423.0,253837.66,0,0
422,4,1196.29,206953.64,0.0,0,0
45,4,9115.37,46366.0,0.0,0,0
15,3,149141.62,24621.0,375429.29,0,0
131,3,48377.78,379182.16,704358.98,0,0
158,5,241173.4,14306.0,86365.95,0,0
177,4,6989.28,20377.0,0.0,0,0
303,5,274860.42,524.0,79581.14,0,0
232,4,5634.43,267629.54,0.0,0,0
279,4,2641.07,57488.0,0.0,0,0
307,3,268206.28,1218849.32,1741765.18,0,0
210,3,69612.05,21509.0,0.0,0,0
404,5,120706.24,0.0,961552.35,0,0
373,5,188802.84,11641.0,411416.83,0,0
226,3,179544.33,20937.0,113206.55,0,0
157,5,10393.23,81.0,0.0,0,0
356,5,367504.12,0.0,609401.59,0,0
332,5,130850.9,224.0,138123.28,0,0
202,3,88853.4,3269582.57,271623.5,0,0
324,5,225268.53,5598.0,0.0,0,0
230,4,33241.11,11197.0,0.0,0,0
14,5,323378.27,131930.0,0.0,0,0
154,3,126764.83,5119381.81,179580.98,0,0
402,4,1142.13,35997.96,0.0,0,0
16,4,1071.1,0.0,0.0,0,0
276,5,172344.44,126584.28,19028530.59,0,0
300,3,176369.56,3051147.0,355103.01,0,0
188,5,275072.37,0.0,553988.88,0,0
544,3,70700.69,488297.79,281006.55,0,0
162,3,4057.02,20742.0,19211.02,0,0
211,3,34952.22,2803985.71,323946.71,0,0
274,5,12386.3,9263.0,0.0,0,0
41,3,91153.27,11651200.04,342179.48,0,0
298,4,403.74,0.0,0.0,0,0
254,3,23556.54,2788430.76,345435.87,0,0
9,4,7472.82,895455.31,0.0,0,0
209,5,222299.35,0.0,380474.83,0,0
307,4,19703.64,156217.0,0.0,0,0
396,3,136647.58,20552.0,0.0,0,0
252,4,16527.89,74806.0,0.0,0,0
40,5,119965.16,104458.0,0.0,0,0
235,3,279755.72,16673.0,3177345.35,0,0
284,5,24949.8,0.0,95128.73,0,0
188,3,94180.32,100155.0,0.0,0,0
324,5,539502.36,5059.0,185240.7,0,0
17,2,807567.73,0.0,1878667.38,0,0
137,5,570079.86,4975.0,2243308.87,0,0
256,5,69906.93,51585.04,2262345.54,0,0
348,2,49783.99,85053.85,842859.05,0,0
659,4,3326.33,205712.05,0.0,0,0
94,3,86590.06,2376976.8,395054.6,0,0
393,5,40392.84,0.0,331061.24,0,0
395,4,10265.68,0.0,0.0,0,0
258,5,34655.56,106451.0,0.0,0,0
352,5,15141.34,0.0,35659.78,0,0
355,3,254790.0,6249056.39,670959.47,0,0
234,4,8448.18,0.0,0.0,0,0
370,3,167107.07,3644363.94,224605.52,0,0
306,2,496169.8,0.0,581619.04,0,0
304,5,32161.56,59404.0,0.0,0,0
19,3,207938.54,974448.22,685906.65,0,0
20,4,25056.34,1064.0,0.0,0,0
279,5,178581.54,116281.57,255772.2,0,0
217,4,3479.33,11681.0,0.0,0,0
274,5,28460.96,127.0,360007.8,0,0
44,5,164553.21,13632.0,4199272.39,0,0
153,3,71180.71,222914.0,0.0,0,0
143,4,3040.41,12496.0,0.0,0,0
131,5,348209.1,658.0,16445745.27,0,0
133,5,273160.35,0.0,1554384.04,0,0
254,3,146298.7,1685022.26,321149.12,0,0
357,3,97563.08,11457.0,4829073.23,0,0
299,3,189322.11,95227.0,61771.8,0,0
590,5,125038.5,219714.48,202025.96,0,0
13,4,23410.4,2530632.64,0.0,0,0
375,4,8414.68,0.0,0.0,0,0
135,4,8536.11,0.0,0.0,0,0
308,5,25939.1,0.0,1065510.84,0,0
178,3,327917.04,15732.0,17781.29,0,0
20,4,7837.38,0.0,0.0,0,0
329,3,249858.24,84596.0,145920.36,0,0
402,1,2369.63,30226.0,85537.33,0,0
132,4,53.42,0.0,0.0,0,0
396,4,34416.66,0.0,0.0,0,0
12,4,24471.9,41329.77,0.0,0,0
306,2,1619116.72,4351.0,145393.32,0,0
44,4,16418.93,0.0,0.0,0,0
345,5,448531.11,20110.0,70652.15,0,0
358,4,22768.28,0.0,0.0,0,0
229,3,121185.64,1427114.13,378690.07,0,0
206,2,1372767.8,0.0,2403433.11,0,0
139,5,75038.16,0.0,625778.46,0,0
228,3,175533.74,1522927.22,411786.4,0,0
177,2,359920.74,119.0,247128.89,0,0
281,5,123215.92,33236.0,73096.2,0,0
14,3,360221.51,303.0,417655.09,0,0
206,5,34303.41,0.0,8264191.12,0,0
167,3,167812.32,56583.0,34055.88,0,0
162,5,93912.64,20095.0,0.0,0,0
258,4,15521.63,332673.42,0.0,0,0
130,4,11389.73,0.0,0.0,0,0
181,5,23741.96,219517.0,0.0,0,0
11,5,321735.39,0.0,387682.04,0,0
308,4,23167.35,20040.0,0.0,0,0
232,4,27296.25,0.0,0.0,0,0
372,4,15526.69,150249.51,0.0,0,0
36,5,131614.21,394356.69,7481583.06,0,0
250,4,2268.24,0.0,0.0,0,0
355,3,220927.53,42108.0,0.0,0,0
18,2,1117723.3,0.0,2113180.61,0,0
16,2,841179.88,21414.0,0.0,0,0
129,5,35947.98,152.0,0.0,0,0
309,3,211442.65,2496089.37,240780.62,0,0
140,3,767.21,52198.0,76234.71,0,0
352,5,429891.57,25766.0,420481.97,0,0
233,2,1355202.83,405208.0,2487022.63,0,0
209,4,3214.21,21732.7,0.0,0,0
159,3,191684.75,31054.0,0.0,0,0
155,4,18919.35,850967.26,0.0,0,0
165,5,254390.12,0.0,948700.1,0,0
8,3,382361.94,1170887.35,2250324.12,0,0
209,3,103283.24,7434970.24,1079429.43,0,0
48,4,3274.02,312556.9,0.0,0,0
281,5,14335.84,0.0,331812.35,0,0
323,3,290935.61,30863.0,414725.79,0,0
137,5,109055.86,21848.0,0.0,0,0
253,4,2498.22,0.0,0.0,0,0
10,4,20975.27,4323.0,0.0,0,0
370,4,7901.41,15284.28,0.0,0,0
471,4,3524.69,0.0,0.0,0,0
11,4,3475.06,51723.0,0.0,0,0
178,3,245947.09,836024.96,1350999.19,0,0
375,3,302835.0,52957.0,0.0,0,0
11,5,55599.96,0.0,211845.67,0,0
134,5,53971.58,0.0,436551.76,0,0
9,3,218168.31,43279.0,0.0,0,0
257,3,238915.63,160065.0,0.0,0,0
299,5,207219.83,0.0,323820.09,0,0
10,4,32057.82,0.0,0.0,0,0
256,4,3564.11,0.0,0.0,0,0
42,5,18181.28,24638.0,0.0,0,0
161,4,19350.04,7013.29,0.0,0,0
186,5,104075.37,0.0,452592.44,0,0
179,4,14150.85,0.0,0.0,0,0
157,5,247910.35,107502.0,0.0,0,0
300,4,47077.13,170103.07,0.0,0,0
372,5,23829.75,0.0,86516.84,0,0
522,3,66860.37,4387278.26,166851.59,0,0
96,4,25029.42,0.0,0.0,0,0
42,2,4769.68,398.0,175760.98,0,0
208,4,2428.18,28364.41,0.0,0,0
163,3,16775.25,8550835.62,76236.1,0,0
379,5,3226.76,10944.0,832041.19,0,0
349,4,24095.77,22465.0,0.0,0,0
234,5,59442.19,484286.97,68536.36,0,0
393,5,255698.28,0.0,1905450.3,0,0
14,5,134262.54,69986.0,4283588.42,0,0
351,4,331.49,99720.0,0.0,0,0
187,4,2484.77,3097.0,0.0,0,0
19,4,14673.27,0.0,0.0,0,0
135,5,355506.7,161979.47,1175157.06,0,0
359,3,261813.64,30391752.02,2775442.13,0,0
285,4,3909.82,175.0,0.0,0,0
281,3,132280.48,8075515.41,170582.45,0,0
204,3,442050.86,6642626.75,625835.28,0,0
382,3,14403.86,1848216.74,29020.41,0,0
357,3,132760.91,199373.0,0.0,0,0
187,5,15558.12,0.0,495701.67,0,0
305,5,6173.64,0.0,1051566.33,0,0
20,2,23596.07,84629.78,575732.66,0,0
155,3,300066.82,3032.0,1641.44,0,0
350,5,322639.68,0.0,342193.3,0,0
139,5,686.75,119.0,380533.5,0,0
327,5,48174.87,0.0,94916.76,0,0
396,5,50664.28,0.0,185477.44,0,0
13,3,179828.23,1477687.38,372319.03,0,0
305,3,117015.57,638.0,1827302.09,0,0
596,4,10407.66,93373.0,0.0,0,0
252,3,205249.81,201020.0,0.0,0,0
301,3,376233.86,273.0,0.0,0,0
349,4,41750.25,13031.0,0.0,0,0
471,3,125834.99,14778.0,0.0,0,0
10,3,126437.61,21542.0,0.0,0,0
234,4,9103.87,0.0,0.0,0,0
256,4,20710.74,10165.0,0.0,0,0
140,3,220613.72,134447.0,278570.08,0,0
332,2,570586.24,0.0,1232170.61,0,0
236,4,12264.28,9994.0,0.0,0,0
329,5,68499.33,0.0,3860094.11,0,0
43,4,290.31,0.0,0.0,0,0
138,4,8639.05,99352.0,0.0,0,0
305,4,23435.23,263189.34,0.0,0,0
183,5,218464.56,0.0,261677.35,0,0
592,5,233276.33,316.0,5505.79,0,0
19,5,248062.77,191.0,0.0,0,0
356,4,4155.76,44229.0,0.0,0,0
95,4,193.24,52908.0,0.0,0,0
131,4,24556.07,0.0,0.0,0,0
330,5,350566.27,0.0,527241.32,0,0
538,5,353425.35,10446.0,461353.33,0,0
37,3,152339.27,6787098.42,282148.89,0,0
349,4,2369.4,21498.04,0.0,0,0
204,4,8793.57,99299.55,0.0,0,0
226,5,485972.93,368777.77,2741146.23,0,0
201,4,2956.98,99854.45,0.0,0,0
308,4,7940.29,0.0,0.0,0,0
13,5,34383.94,15752.0,2898084.08,0,0
34,4,21310.51,5566.81,0.0,0,0
34,3,139479.75,5190284.74,351815.23,0,0
159,3,56974.31,10311161.04,378324.33,0,0
307,5,269097.3,5043.0,46989.01,0,0
10,2,950687.54,0.0,3172635.24,0,0
139,2,374401.69,200705.9,3445993.04,0,0
393,3,277807.11,5479770.82,884725.9,0,0
138,3,149000.82,480.0,0.0,0,0
356,4,9786.62,162110.49,0.0,0,0
40,5,213406.95,0.0,1190046.83,0,0
394,5,341876.55,4997.0,54020.74,0,0
370,4,6483.44,0.0,0.0,0,0
302,4,19731.87,91227.66,0.0,0,0
347,4,43689.67,3102.48,0.0,0,0
140,5,346421.1,0.0,1140537.47,0,0
41,5,102907.27,216905.0,0.0,0,0
321,4,12759.57,0.0,0.0,0,0
258,3,230960.6,20076.0,0.0,0,0
353,5,58183.42,0.0,930850.62,0,0
208,4,1925.45,0.0,0.0,0,0
212,4,8534.4,103067.0,0.0,0,0
306,5,13201.21,19939.0,2087.52,0,0
232,5,374172.13,0.0,674450.7,0,0
234,5,237915.89,884.0,0.0,0,0
298,4,18126.41,0.0,0.0,0,0
250,4,5173.31,48314.0,0.0,0,0
276,4,2506.19,0.0,0.0,0,0
16,5,43511.28,72220.0,724417.6,0,0
495,4,11755.84,80791.0,0.0,0,0
382,5,90917.0,0.0,505587.58,0,0
278,2,769824.02,520249.0,248917.14,0,0
692,2,267315.22,70987.0,0.0,0,0
163,4,10962.84,0.0,0.0,0,0
251,4,13766.29,0.0,0.0,0,0
258,5,35078.46,10165.0,1566393.95,0,0
378,3,106470.09,237681.0,113901.23,0,0
181,2,464135.81,50225.0,910482.5,0,0
280,4,16976.08,0.0,0.0,0,0
201,2,1175117.87,0.0,3435147.88,0,0
282,5,26807.27,20767.0,0.0,0,0
226,4,10788.01,0.0,0.0,0,0
324,5,135619.2,0.0,815180.69,0,0
329,5,137999.85,916.0,96321.19,0,0
380,4,8544.52,116615.43,0.0,0,0
251,2,86599.16,6011.69,2787586.96,0,0
164,4,16828.23,45742.0,0.0,0,0
282,5,52356.15,90204.0,320066.35,0,0
300,4,16096.58,903524.58,0.0,0,0
237,5,40652.75,39181.0,45334.52,0,0
204,4,7936.52,251193.73,0.0,0,0
346,4,4501.64,0.0,0.0,0,0
22,3,48615.62,5748956.61,49578.17,0,0
131,4,19276.7,477033.0,0.0,0,0
253,3,182400.13,2839.0,8088136.32,0,0
299,5,64370.06,0.0,4345992.56,0,0
226,3,29565.87,127.0,4892279.84,0,0
426,4,8210.9,0.0,0.0,0,0
324,2,548223.79,14824.0,935826.41,0,0
236,2,222853.84,176.0,69380.22,0,0
14,4,4971.84,0.0,0.0,0,0
284,4,6761.0,0.0,0.0,0,0
159,2,191200.23,0.0,1279470.66,0,0
588,5,192574.77,27546.0,2214930.93,0,0
372,5,223127.94,6019.0,0.0,0,0
36,5,34345.26,0.0,388175.36,0,0
595,2,304203.19,50337.0,329301.37,0,0
256,4,3357.04,74756.0,0.0,0,0
134,3,215922.1,15261432.95,320396.43,0,0
235,4,14836.04,1577.0,0.0,0,0
225,4,9058.52,0.0,0.0,0,0
11,3,109571.58,8541162.79,2694371.56,0,0
305,4,13924.85,7113.0,0.0,0,0
522,5,83674.92,60905.0,117536.26,0,0
256,2,573981.34,24427.0,153411.58,0,0
275,5,96282.54,37375.0,132793.81,0,0
40,4,13646.26,324166.28,0.0,0,0
187,5,223851.11,0.0,1162131.98,0,0
164,5,11458.77,32697.0,2408684.37,0,0
394,3,160755.41,16444.0,727286.65,0,0
207,4,13050.8,273164.69,0.0,0,0
211,5,68040.56,0.0,839844.65,0,0
259,4,13430.39,54136.0,0.0,0,0
162,4,5044.07,13180.7,0.0,0,0
157,5,429543.19,81242.0,4073505.47,0,0
281,5,310186.52,0.0,375716.94,0,0
213,5,578834.5,0.0,2018155.32,0,0
7,3,34511.23,2065896.84,122781.0,0,0
155,2,1158316.37,73181.0,2903.82,0,0
274,4,6822.0,42729.88,0.0,0,0
352,3,145173.1,61543.0,315899.26,0,0
10,4,23857.1,228430.0,0.0,0,0
348,4,4151.11,0.0,0.0,0,0
265,4,8928.94,8223.0,0.0,0,0
140,4,3177.02,33158.0,0.0,0,0
155,3,147246.47,946671.31,1443597.04,0,0
265,5,120264.55,5277.0,0.0,0,0
129,5,79749.02,584.0,598912.19,0,0
156,4,23520.79,0.0,0.0,0,0
250,5,8890.21,0.0,302937.75,0,0
401,4,51776.62,40368.0,0.0,0,0
283,4,14524.64,0.0,0.0,0,0
11,5,227623.78,0.0,244350.51,0,0
208,5,183656.33,0.0,1392011.91,0,0
397,3,437526.13,3360893.08,641223.42,0,0
16,4,19205.46,116889.7,0.0,0,0
42,5,295264.45,156890.0,0.0,0,0
254,5,393448.31,7369.0,598920.15,0,0
328,5,13874.06,0.0,483905.75,0,0
181,3,30515.44,9943464.3,270688.57,0,0
351,2,2430889.82,0.0,3067182.75,0,0
359,5,28660.92,0.0,755848.36,0,0
253,3,386664.75,7045267.11,954484.99,0,0
546,5,130558.22,0.0,777619.45,0,0
644,4,329.71,0.0,0.0,0,0
262,4,1106.13,68774.0,0.0,0,0
372,4,7896.64,2294.0,0.0,0,0
349,5,256060.82,10915.0,204431.2,0,0
308,5,7423.51,0.0,99023.69,0,0
42,5,473451.73,51783.0,489806.94,0,0
159,5,187638.8,0.0,201271.99,0,0
207,5,329651.09,40.0,0.0,0,0
281,4,5146.28,5482.0,0.0,0,0
227,2,320670.88,5330.0,13364007.17,0,0
157,5,23395.34,0.0,104622.0,0,0
43,2,1883214.34,0.0,13433520.6,0,0
280,5,171767.24,106770.68,485307.1,0,0
522,3,261751.73,14372827.94,580049.82,0,0
590,5,62620.62,0.0,604817.27,0,0
20,2,266652.33,0.0,755857.27,0,0
422,4,27772.35,47344.0,0.0,0,0
163,5,54427.79,0.0,405041.27,0,0
348,4,14742.9,51419.0,0.0,0,0
130,3,6349.28,2137289.61,665666.97,0,0
406,4,38666.82,51029.0,0.0,0,0
14,4,6501.66,15206.0,0.0,0,0
382,5,109087.08,211181.0,0.0,0,0
210,3,198470.85,332409.75,1032467.55,0,0
406,5,313974.02,0.0,2246090.54,0,0
17,3,3212.27,55708.33,416244.82,0,0
404,4,1224.5,16095.0,0.0,0,0
135,3,229002.27,30711.0,52162.09,0,0
185,2,89668.98,0.0,142270.83,0,0
161,3,151252.58,6787383.89,432328.29,0,0
376,5,144321.67,23307.0,257384.61,0,0
256,3,68735.15,54088.0,0.0,0,0
42,4,6569.78,0.0,0.0,0,0
371,3,212615.17,1505706.85,1535063.37,0,0
202,3,106593.09,4242632.1,1378092.09,0,0
162,2,1162026.06,2222.0,0.0,0,0
356,4,4646.06,30301.0,0.0,0,0
234,4,3126.82,83542.94,0.0,0,0
401,4,20568.74,14937.0,0.0,0,0
360,4,3678.42,0.0,0.0,0,0
402,4,19794.31,10590.0,0.0,0,0
375,5,204662.11,0.0,479415.67,0,0
18,4,5295.82,318951.83,0.0,0,0
139,3,174335.11,83849.0,0.0,0,0
138,5,144559.55,0.0,244289.68,0,0
162,3,210223.23,5104660.47,901684.88,0,0
403,4,10384.01,3783.24,0.0,0,0
297,3,152437.68,37064.0,98920.02,0,0
380,5,274701.56,16764.0,0.0,0,0
260,3,266561.2,5639485.46,472076.22,0,0
257,5,193375.39,43744.0,0.0,0,0
16,4,17748.71,0.0,0.0,0,0
225,5,191800.14,15899.0,4781655.54,0,0
164,4,18682.43,0.0,0.0,0,0
138,4,11474.1,399487.0,0.0,0,0
20,5,113530.45,694072.97,25780120.74,0,0
331,5,301551.76,31166.0,794603.72,0,0
137,3,35411.22,41822.0,150627.22,0,0
204,3,125069.46,19441438.02,3503815.42,0,0
346,3,271272.46,38064.0,0.0,0,0
158,4,15074.18,0.0,0.0,0,0
350,3,34780.07,2622556.92,1182185.7,0,0
178,5,144314.71,29829.0,213778.23,0,0
139,4,18904.63,252390.19,0.0,0,0
238,4,10878.02,111467.0,0.0,0,0
287,5,65564.36,0.0,1725161.89,0,0
404,5,122579.4,35546.0,55724.52,0,0
45,3,307650.13,6464968.62,725875.9,0,0
43,5,121898.19,23655.52,0.0,0,0
33,3,300385.26,5092.0,851872.33,0,0
303,5,85253.67,40105.0,834531.19,0,0
167,2,371015.17,86169.0,389290.6,0,0
301,3,259383.26,40726.0,608180.78,0,0
404,3,299351.78,6029827.72,1134852.51,0,0
139,4,14095.03,0.0,0.0,0,0
142,3,373108.67,1259795.96,1241423.7,0,0
207,4,5802.0,159416.05,0.0,0,0
254,4,4552.93,0.0,0.0,0,0
357,4,12045.71,0.0,0.0,0,0
302,5,188352.08,21112.0,1651470.29,0,0
132,2,947613.11,20542.0,3330727.44,0,0
351,5,281416.97,2567.0,1389342.13,0,0
254,4,8010.31,204678.12,0.0,0,0
43,5,173157.46,45355.0,0.0,0,0
10,5,427213.02,162875.27,0.0,0,0
327,5,321921.57,0.0,1242463.69,0,0
202,5,368708.38,0.0,1498533.18,0,0
36,5,55167.06,116223.0,0.0,0,0
180,4,22223.81,0.0,0.0,0,0
8,5,309119.49,0.0,846992.93,0,0
185,2,589258.77,11445.0,2849237.09,0,0
208,5,39220.38,577553.0,866000.39,0,0
349,5,147008.5,0.0,538770.15,0,0
393,4,8256.07,0.0,0.0,0,0
566,5,35708.25,22340.0,1365660.47,0,0
327,4,2488.05,55618.0,0.0,0,0
134,2,633561.85,194.0,499703.53,0,0
280,3,174361.77,18853619.98,957371.61,0,0
405,5,318136.47,0.0,2695571.94,0,0
449,3,46883.93,13916.0,0.0,0,0
205,3,247045.54,5542.0,189550.16,0,0
15,3,284130.32,7054322.56,1015787.36,0,0
131,5,194055.9,0.0,5691413.47,0,0
308,2,1889119.74,0.0,4095045.88,0,0
210,4,4100.15,22898.65,0.0,0,0
589,3,44746.05,1083.0,465308.77,0,0
250,5,248642.48,3011.0,0.0,0,0
348,4,4806.22,0.0,0.0,0,0
183,4,31740.13,12919.0,0.0,0,0
252,3,264119.12,213919.0,4475325.63,0,0
403,2,708142.39,176.0,29144.89,0,0
279,4,13665.74,184905.05,0.0,0,0
254,5,318040.35,2087.0,871595.47,0,0
379,5,402107.91,206327.0,109721.6,0,0
250,3,21633.6,1060156.04,431426.55,0,0
153,4,11587.44,12860.27,0.0,0,0
36,3,117674.47,1626909.77,2483258.3,0,0
300,5,306293.75,0.0,778972.57,0,0
17,2,293311.38,94966.0,0.0,0,0
145,4,1005.87,16147.0,0.0,0,0
254,3,449147.07,277.0,0.0,0,0
188,3,26812.82,76685.0,210034.14,0,0
371,3,229987.87,80190.0,0.0,0,0
349,4,31277.14,48699.0,0.0,0,0
234,5,186863.42,278.0,114424.48,0,0
14,5,15560.19,0.0,47098.23,0,0
134,3,21079.31,565850.67,284766.81,0,0
201,4,3640.13,35731.0,0.0,0,0
331,4,4847.58,0.0,0.0,0,0
353,4,8283.07,13024.0,0.0,0,0
187,3,105083.29,12506460.61,1139675.1,0,0
203,4,3768.3,0.0,0.0,0,0
188,4,5239.36,54592.07,0.0,0,0
232,4,13741.0,71380.0,0.0,0,0
20,5,236011.86,0.0,1084955.04,0,0
185,5,155345.36,0.0,983253.35,0,0
159,4,13948.0,148776.98,0.0,0,0
228,2,286788.1,3137.0,158811.13,0,0
238,1,2459.98,71249.0,2182813.02,0,0
12,3,214466.56,2123632.72,1074067.02,0,0
